-2.921461, 0.407637, -0.858853, 1.023340, -0.888611, 0.701984, -0.502138, 0.286637, -0.061683, -0.163522, 0.378926, -0.574608, 0.741438 
-2.915172, 0.408954, -0.858943, 1.019698, -0.878529, 0.683808, -0.475022, 0.250714, -0.018114, -0.212579, 0.430425, -0.624795, 0.786096 
-2.908882, 0.410307, -0.859031, 1.015953, -0.868195, 0.665247, -0.447471, 0.214453, 0.025488, -0.261114, 0.480576, -0.672556, 0.827049 
-2.902593, 0.411697, -0.859117, 1.012104, -0.857609, 0.646311, -0.419508, 0.177901, 0.069043, -0.309005, 0.529222, -0.717704, 0.864103 
-2.896303, 0.413123, -0.859200, 1.008151, -0.846776, 0.627011, -0.391159, 0.141108, 0.112469, -0.356137, 0.576209, -0.760064, 0.897083 
-2.890014, 0.414585, -0.859280, 1.004094, -0.835698, 0.607357, -0.362451, 0.104124, 0.155685, -0.402391, 0.621390, -0.799472, 0.925834 
-2.883724, 0.416084, -0.859356, 0.999932, -0.824378, 0.587359, -0.333408, 0.066998, 0.198609, -0.447655, 0.664624, -0.835774, 0.950219 
-2.877435, 0.417619, -0.859429, 0.995667, -0.812819, 0.567030, -0.304059, 0.029782, 0.241163, -0.491816, 0.705775, -0.868828, 0.970123 
-2.871145, 0.419189, -0.859496, 0.991298, -0.801023, 0.546380, -0.274430, -0.007474, 0.283265, -0.534766, 0.744713, -0.898505, 0.985452 
-2.864856, 0.420796, -0.859559, 0.986825, -0.788994, 0.525420, -0.244548, -0.044720, 0.324838, -0.576399, 0.781315, -0.924690, 0.996132 
-2.858566, 0.422439, -0.859616, 0.982247, -0.776734, 0.504162, -0.214440, -0.081906, 0.365802, -0.616611, 0.815467, -0.947281, 1.002113 
-2.852277, 0.424117, -0.859668, 0.977565, -0.764248, 0.482618, -0.184134, -0.118980, 0.406082, -0.655303, 0.847061, -0.966188, 1.003366 
-2.845987, 0.425831, -0.859713, 0.972779, -0.751538, 0.460801, -0.153659, -0.155893, 0.445602, -0.692380, 0.875998, -0.981339, 0.999885 
-2.839698, 0.427581, -0.859752, 0.967888, -0.738607, 0.438721, -0.123041, -0.192594, 0.484288, -0.727750, 0.902186, -0.992673, 0.991685 
-2.833408, 0.429367, -0.859783, 0.962893, -0.725459, 0.416391, -0.092309, -0.229033, 0.522066, -0.761325, 0.925543, -1.000146, 0.978805 
-2.827119, 0.431187, -0.859806, 0.957794, -0.712097, 0.393825, -0.061492, -0.265161, 0.558865, -0.793021, 0.945994, -1.003729, 0.961305 
-2.820829, 0.433044, -0.859822, 0.952590, -0.698526, 0.371033, -0.030619, -0.300928, 0.594618, -0.822761, 0.963475, -1.003406, 0.939267 
-2.814540, 0.434935, -0.859828, 0.947283, -0.684747, 0.348030, 0.000284, -0.336285, 0.629255, -0.850470, 0.977931, -0.999179, 0.912794 
-2.808250, 0.436861, -0.859826, 0.941870, -0.670766, 0.324828, 0.031185, -0.371185, 0.662712, -0.876080, 0.989315, -0.991063, 0.882011 
-2.801961, 0.438823, -0.859813, 0.936354, -0.656586, 0.301440, 0.062058, -0.405578, 0.694926, -0.899527, 0.997592, -0.979090, 0.847062 
-2.795672, 0.440820, -0.859791, 0.930733, -0.642210, 0.277880, 0.092874, -0.439419, 0.725835, -0.920751, 1.002734, -0.963305, 0.808113 
-2.789382, 0.442851, -0.859757, 0.925008, -0.627643, 0.254160, 0.123603, -0.472661, 0.755382, -0.939701, 1.004724, -0.943769, 0.765347 
-2.783093, 0.444917, -0.859712, 0.919179, -0.612888, 0.230295, 0.154217, -0.505258, 0.783510, -0.956329, 1.003557, -0.920557, 0.718965 
-2.776803, 0.447017, -0.859655, 0.913245, -0.597949, 0.206297, 0.184688, -0.537166, 0.810166, -0.970593, 0.999235, -0.893760, 0.669185 
-2.770514, 0.449152, -0.859586, 0.907208, -0.582831, 0.182180, 0.214987, -0.568340, 0.835299, -0.982457, 0.991770, -0.863481, 0.616243 
-2.764224, 0.451321, -0.859503, 0.901067, -0.567538, 0.157959, 0.245086, -0.598737, 0.858862, -0.991891, 0.981186, -0.829838, 0.560389 
-2.757935, 0.453525, -0.859407, 0.894821, -0.552074, 0.133646, 0.274956, -0.628316, 0.880809, -0.998872, 0.967516, -0.792961, 0.501885 
